-113.21616 40.62633
-113.21883 40.42019
-113.21826 40.21505
-113.22885 40.00043
-113.23560 39.89887
-113.24362 39.65823
-113.24099 39.51322
-113.23973 39.36290
-113.24384 39.27059
-113.25417 39.14897
-113.27038 39.00170
-113.28620 38.82305
-113.30221 38.67271
-113.33280 38.47576
-113.39163 38.13173
-113.42175 37.88058
-113.44353 37.70310
-113.45437 37.63113
-113.48093 37.39166
-113.50345 37.04188
-113.50885 36.90104
-113.50887 36.90058
-113.52146 36.70505
-113.55714 36.48091
-113.59981 36.25333
-113.62141 36.09499
-113.68392 35.98235
-113.77123 35.89953
-113.82832 35.98605
-113.94098 36.03175
-114.02858 35.98904
-114.06355 35.91995
-114.07238 35.84464
-114.05699 35.77359
-114.03991 35.72071
-114.05419 35.66743
-114.04585 35.58783
-114.03375 35.52126
-114.00803 35.45805
-113.99911 35.39404
-113.99645 35.34295
-113.93583 35.22393
-113.89561 35.07483
-113.88443 35.00192
-113.91479 34.97865
-113.90003 34.94276
-113.91105 34.87247
-113.91057 34.87114
-113.91064 34.87121
-114.02822 35.01988
-114.23912 35.24159
-114.39704 35.40590
-114.52783 35.59328
-114.63197 35.76946
-114.70237 35.91210
-114.81712 36.12400
-115.12767 36.41280
-115.46350 36.64946
-115.89130 36.90116
-116.12952 37.04265
-116.31856 37.14901
-116.58984 37.33164
-117.01656 37.65379
-117.42741 37.94475
-117.76732 38.12716
-117.99335 38.24959
-118.10645 38.69594
-118.13817 38.93093
-118.16867 39.18683
-118.22586 39.52770
-118.31327 39.86575
-118.46685 40.31158
-118.60352 40.66674
-118.92615 41.27245
-118.93418 41.28549
-118.93431 41.28574
-118.83857 41.31517
-118.72866 41.34631
-118.62626 41.37361
-118.53061 41.39972
-118.38845 41.43825
-118.26021 41.47139
-118.13865 41.50329
-117.86516 41.57462
-117.61722 41.63434
-117.34316 41.69532
-117.21178 41.72150
-117.12222 41.73824
-116.95469 41.76850
-116.84549 41.78778
-116.80714 41.79439
-116.73092 41.80721
-116.63671 41.82172
-116.51973 41.83790
-116.44802 41.84625
-116.35298 41.85636
-116.24794 41.86650
-116.19475 41.87095
-116.06029 41.88085
-115.91091 41.89171
-115.75762 41.90235
-115.75475 41.90263
-115.75072 41.90256
-115.59405 41.91293
-115.45514 41.92228
-115.31965 41.93111
-115.26322 41.93403
-115.17396 41.93943
-115.03879 41.94916
-114.97439 41.95266
-114.88204 41.95756
-114.86282 41.95896
-114.74589 41.96190
-114.61405 41.96709
-114.46552 41.97185
-114.34758 41.97477
-114.27057 41.97608
-114.21062 41.97720
-114.08888 41.97880
-113.89615 41.98531
-113.75396 41.98995
-113.65727 41.99191
-113.62700 41.99304
-113.53766 42.00124
-113.46238 42.00995
-113.39441 42.01661
-113.30881 42.02446
-113.20847 42.03072
-113.20585 42.03082
-113.17098 41.92353
-113.09633 41.58630
-113.06773 41.33909
-113.12970 41.01763
-113.20906 40.70236
-113.21612 40.62695
